Stations_ID; Mess_Datum; Qualitaets_Niveau; LUFTTEMPERATUR;DAMPFDRUCK;BEDECKUNGSGRAD;LUFTDRUCK_STATIONSHOEHE;REL_FEUCHTE; WINDGESCHWINDIGKEIT; LUFTTEMPERATUR_MAXIMUM;LUFTTEMPERATUR_MINIMUM;LUFTTEMP_AM_ERDB_MINIMUM; WINDSPITZE_MAXIMUM; NIEDERSCHLAGSHOEHE;NIEDERSCHLAGSHOEHE_IND;SONNENSCHEINDAUER; SCHNEEHOEHE;eor
        1;19370101;   5;   -0.5;  -999;   6.3;    -999;    -999;-999;    2.5;   -1.6;   -999;-999;   0.0;   0;     -999;   0;eor
        1;19370102;   5;    0.3;  -999;   3.0;    -999;    -999;-999;    5.0;   -4.0;   -999;-999;   0.0;   0;     -999;   0;eor
        1;19370103;   5;    3.2;  -999;   4.3;    -999;    -999;-999;    5.0;   -0.2;   -999;-999;   0.0;   0;     -999;   0;eor
        1;19370104;   5;    0.2;  -999;   8.0;    -999;    -999;-999;    3.8;   -0.2;   -999;-999;   0.0;   0;     -999;   0;eor
        1;19370105;   5;    1.4;  -999;   8.0;    -999;    -999;-999;    4.5;   -0.7;   -999;-999;   0.0;   0;     -999;   0;eor
        1;19370106;   5;    0.2;  -999;   6.0;    -999;    -999;-999;    2.0;   -2.4;   -999;-999;   5.2;   7;     -999;   0;eor
        1;19370107;   5;    5.4;  -999;   6.3;    -999;    -999;-999;    8.2;    0.6;   -999;-999;   3.6;   1;     -999;   0;eor
        1;19370108;   5;    2.1;  -999;   4.7;    -999;    -999;-999;    4.0;    1.4;   -999;-999;   0.8;   1;     -999;   0;eor
        1;19370109;   5;   -1.6;  -999;   0.7;    -999;    -999;-999;    1.6;   -3.4;   -999;-999;   0.0;   0;     -999;   0;eor
        1;19370110;   5;   -3.0;  -999;   0.0;    -999;    -999;-999;    1.4;   -7.5;   -999;-999;   0.0;   0;     -999;   0;eor
        1;19370111;   5;   -3.3;  -999;   3.0;    -999;    -999;-999;    0.4;   -7.4;   -999;-999;   0.0;   0;     -999;   0;eor
        1;19370112;   5;   -4.0;  -999;   0.0;    -999;    -999;-999;    1.0;   -7.2;   -999;-999;   0.0;   0;     -999;   0;eor
        1;19370113;   5;   -2.4;  -999;   5.7;    -999;    -999;-999;    2.4;   -7.2;   -999;-999;   0.0;   0;     -999;   0;eor
        1;19370114;   5;   -1.3;  -999;   6.3;    -999;    -999;-999;    0.0;   -4.5;   -999;-999;   3.7;   1;     -999;   0;eor
        1;19370115;   5;    1.4;  -999;   8.0;    -999;    -999;-999;    2.0;   -0.4;   -999;-999;   5.5;   1;     -999;   0;eor
        1;19370116;   5;    1.1;  -999;   8.0;    -999;    -999;-999;    2.5;    0.5;   -999;-999;   0.0;   0;     -999;   0;eor
        1;19370117;   5;   -0.3;  -999;   6.0;    -999;    -999;-999;    3.0;   -1.4;   -999;-999;   0.0;   0;     -999;   0;eor
        1;19370118;   5;   -0.4;  -999;   8.0;    -999;    -999;-999;    0.5;   -2.0;   -999;-999;   0.8;   1;     -999;   0;eor
        1;19370119;   5;    3.0;  -999;   7.3;    -999;    -999;-999;    5.6;    0.4;   -999;-999;  11.5;   1;     -999;   0;eor
        1;19370120;   5;    0.7;  -999;   5.0;    -999;    -999;-999;    4.0;   -0.6;   -999;-999;   0.0;   0;     -999;   0;eor
        1;19370121;   5;   -1.4;  -999;   3.7;    -999;    -999;-999;    3.0;   -4.4;   -999;-999;   0.0;   0;     -999;   0;eor
        1;19370122;   5;    1.6;  -999;   3.3;    -999;    -999;-999;    6.4;   -1.4;   -999;-999;   0.0;   0;     -999;   0;eor
        1;19370123;   5;    0.4;  -999;   0.0;    -999;    -999;-999;    6.2;   -2.2;   -999;-999;   0.0;   0;     -999;   0;eor
        1;19370124;   5;   -2.6;  -999;   5.0;    -999;    -999;-999;    1.3;   -3.2;   -999;-999;   0.2;   1;     -999;   0;eor
        1;19370125;   5;   -1.4;  -999;   7.3;    -999;    -999;-999;    0.0;   -3.2;   -999;-999;   0.8;   1;     -999;   0;eor
        1;19370126;   5;    1.0;  -999;   3.3;    -999;    -999;-999;    8.6;   -3.4;   -999;-999;   0.0;   0;     -999;   0;eor
        1;19370127;   5;   -1.3;  -999;   4.7;    -999;    -999;-999;    1.2;   -2.2;   -999;-999;   0.0;   0;     -999;   0;eor
        1;19370128;   5;   -4.0;  -999;   6.3;    -999;    -999;-999;   -1.6;   -4.6;   -999;-999;   0.0;   7;     -999;   0;eor
        1;19370129;   5;   -1.3;  -999;   8.0;    -999;    -999;-999;    0.6;   -5.0;   -999;-999;  10.0;   8;     -999;   0;eor
        1;19370130;   5;    2.0;  -999;   4.7;    -999;    -999;-999;    6.6;    0.5;   -999;-999;   0.0;   0;     -999;   5;eor
        1;19370131;   5;    3.9;  -999;   4.7;    -999;    -999;-999;    9.5;    0.5;   -999;-999;   0.0;   0;     -999;   0;eor
        1;19370201;   5;    3.5;  -999;   6.7;    -999;    -999;-999;    5.5;    1.0;   -999;-999;  12.1;   1;     -999;   0;eor
        1;19370202;   5;    3.0;  -999;   4.7;    -999;    -999;-999;    7.2;    1.4;   -999;-999;   0.6;   1;     -999;   0;eor
        1;19370203;   5;    0.6;  -999;   8.0;    -999;    -999;-999;    1.6;    0.4;   -999;-999;   0.0;   0;     -999;   0;eor
        1;19370204;   5;    1.4;  -999;   4.3;    -999;    -999;-999;    6.4;   -0.4;   -999;-999;   0.0;   0;     -999;   0;eor
        1;19370205;   5;    5.4;  -999;   6.0;    -999;    -999;-999;    7.5;    0.3;   -999;-999;  13.6;   1;     -999;   0;eor
        1;19370206;   5;    4.1;  -999;   5.3;    -999;    -999;-999;    7.8;    2.4;   -999;-999;   3.0;   1;     -999;   0;eor
        1;19370207;   5;    0.9;  -999;   5.0;    -999;    -999;-999;    4.0;   -2.8;   -999;-999;   3.8;   1;     -999;   0;eor
        1;19370208;   5;    5.1;  -999;   6.7;    -999;    -999;-999;    8.0;   -0.8;   -999;-999;   0.7;   1;     -999;   0;eor
        1;19370209;   5;    3.4;  -999;   5.0;    -999;    -999;-999;    5.6;    2.0;   -999;-999;   0.8;   7;     -999;   0;eor
        1;19370210;   5;    2.3;  -999;   5.3;    -999;    -999;-999;    4.0;   -0.8;   -999;-999;   6.8;   7;     -999;   0;eor
        1;19370211;   5;    1.0;  -999;   7.3;    -999;    -999;-999;    3.4;    0.2;   -999;-999;   5.5;   7;     -999;   0;eor
        1;19370212;   5;   -1.2;  -999;   7.0;    -999;    -999;-999;    1.0;   -2.6;   -999;-999;   0.4;   7;     -999;   6;eor
        1;19370213;   5;   -1.4;  -999;   7.7;    -999;    -999;-999;    0.8;   -3.6;   -999;-999;   5.8;   7;     -999;   2;eor
        1;19370214;   5;   -1.9;  -999;   2.7;    -999;    -999;-999;    3.2;   -5.7;   -999;-999;   0.0;   0;     -999;  10;eor
        1;19370215;   5;   -0.2;  -999;   7.3;    -999;    -999;-999;    2.6;   -5.2;   -999;-999;   0.0;   0;     -999;   4;eor
        1;19370216;   5;    2.2;  -999;   7.3;    -999;    -999;-999;    4.7;   -3.0;   -999;-999;   4.4;   1;     -999;   0;eor
        1;19370217;   5;    1.6;  -999;   6.3;    -999;    -999;-999;    3.8;    0.8;   -999;-999;   1.6;   7;     -999;   0;eor
        1;19370218;   5;    1.6;  -999;   6.3;    -999;    -999;-999;    3.8;   -1.4;   -999;-999;   0.0;   0;     -999;   2;eor
        1;19370219;   5;    2.3;  -999;   8.0;    -999;    -999;-999;    4.5;   -1.6;   -999;-999;   4.3;   8;     -999;   0;eor
        1;19370220;   5;    5.2;  -999;   7.3;    -999;    -999;-999;    7.4;    3.4;   -999;-999;   0.0;   7;     -999;   0;eor
        1;19370221;   5;    1.8;  -999;   7.3;    -999;    -999;-999;    4.4;    0.4;   -999;-999;  12.7;   8;     -999;   0;eor
